NAME,PH_NO,EMAIL_ID,SUPPLIER_ID
Realcube,9005353542,bruce@realcube.com,1
Topiclounge,9598319124,robert@topiclounge.com,2
Voolia,8983800473,louise@voolia.com,3
Blogpad,9632763889,gary@blogpad.com,4
Youbridge,9693062936,edward@youbridge.com,5
Zoombox,9130102816,andrew@zoombox.com,6
Riffwire,9563523435,henry@riffwire.com,7
Wikizz,9569995027,gregory@wikizz.com,8
Thoughtstorm,9691458218,emily@thoughtstorm.com,9
Brainverse,9587423408,beverly@brainverse.com,10
Realbuzz,9318953220,elizabeth@realbuzz.com,11
Cogidoo,9810642993,ashley@cogidoo.com,12
Fanoodle,8986840938,sharon@fanoodle.com,13
Thoughtstorm,9090662213,jesse@thoughtstorm.com,14
Brainbox,9037903251,willie@brainbox.com,15
Geba,9179556640,stephen@geba.com,16
Zoonder,9506180599,sandra@zoonder.com,17
Livetube,9403384676,louis@livetube.com,18
Kwilith,9713433932,steve@kwilith.com,19
Kaymbo,9116248205,thomas@kaymbo.com,20
Browsetype,9168544020,patrick@browsetype.com,21
Ntag,9764936077,raymond@ntag.com,22
Innojam,9842487849,jeffrey@innojam.com,23
Jaxworks,9015311739,julia@jaxworks.com,24
Tazz,9042928668,todd@tazz.com,25
